Workload,Method,MAE,Average Error,EA,MAPE
C,User,56416.19836419198,15:40:16,0.10713352820951798,2999.341407371898
C,Heuristic,3695.9314967942955,01:01:35,0.24812670673462348,53.27742645215961
C,DT,3367.5123134999103,00:56:07,0.5782678494992248,3.9019007023602597
C,RNP,4506.397537300018,01:15:06,0.562610391585409,12.230834721008026
C,KNN,3557.569267181976,00:59:17,0.27568038386735383,96.50003482927919
C,ORA,394.73591886871594,00:06:34,0.6864905843179141,1.621772703952832
A,User,56668.22875483786,15:44:28,0.10673174814548074,3027.2947746484056
A,Heuristic,3730.0322765588426,01:02:10,0.24559605333546702,53.12485140760984
A,DT,3370.4812671247187,00:56:10,0.5791583732001282,3.8123664064299243
A,RNP,4543.903027902221,01:15:43,0.5644780519976674,13.050765507459385
A,KNN,3573.822741464558,00:59:33,0.2732264795901764,97.0689033974709
A,ORA,386.7321382465319,00:06:26,0.6857545620084057,1.7081865882835015
H1,User,56525.02033785285,15:42:05,0.1062216607625292,2988.984693988989
H1,Heuristic,3663.6945987997333,01:01:03,0.25106027277759446,52.22247621124608
H1,DT,3324.635696821516,00:55:24,0.5805985750679711,4.100365738073183
H1,RNP,4434.90697932874,01:13:54,0.5661966328083734,9.610632295049943
H1,KNN,3461.6195821293622,00:57:41,0.27818349083748395,97.27774060144453
H1,ORA,370.3114025338964,00:06:10,0.6882092152262836,2.5130274806362656
H2,User,56706.89421046783,15:45:06,0.1063428958380551,3094.7715948580617
H2,Heuristic,3699.4969441049006,01:01:39,0.2437881175447751,53.80323972534391
H2,DT,3317.239359928881,00:55:17,0.5845086166083988,3.335177736721631
H2,RNP,4233.172463607068,01:10:33,0.5718640155631601,7.642176105821085
H2,KNN,3592.4598288698744,00:59:52,0.27088846483481666,98.52674644632054
H2,ORA,399.4080453383709,00:06:39,0.6788791956229566,0.8212494068771087
H3,User,56967.36952656146,15:49:27,0.10528059180329025,3077.6468267966407
H3,Heuristic,3658.8105134474326,01:00:58,0.24002135688050136,53.46693641924349
H3,DT,3447.400311180262,00:57:27,0.573554563501014,3.576967451202025
H3,RNP,4564.104245387864,01:16:04,0.5611129055237781,14.991421771156212
H3,KNN,3607.8963102911757,01:00:07,0.2659314011090864,97.08987451918699
H3,ORA,335.18948655256725,00:05:35,0.6831553561048808,1.1662356560265867
H4,User,56254.09511111111,15:37:34,0.10892529958504639,2919.9785189336208
H4,Heuristic,3944.5133333333333,01:05:44,0.25224017247230385,52.855970641384495
H4,DT,3508.8945555555556,00:58:28,0.5756358963767219,4.329724946614431
H4,RNP,4860.311222222223,01:21:00,0.5589699695005046,15.723110609256866
H4,KNN,3668.179888888889,01:01:08,0.2804113630734837,93.9720450668382
H4,ORA,412.148,00:06:52,0.6925214890497229,1.5550010686151898
H5,User,56887.76458819606,15:48:07,0.1068882927384828,3055.0922386647167
H5,Heuristic,3683.645993108814,01:01:23,0.24087034700216053,53.275634040831164
H5,DT,3254.236412137379,00:54:14,0.5814942144465356,3.7195961595383524
H5,RNP,4627.020228965211,01:17:07,0.5642467365925204,17.28648675601282
H5,KNN,3538.958097143492,00:58:58,0.2707176780960111,98.47811035356418
H5,ORA,416.6037568078248,00:06:56,0.6860075540381843,2.4854193292623563
